"TIME","CURRENCY","UNIT","STATINFO","Value","Flag and Footnotes"
"1997M10","US dollar","National currency","Average","1.1203",""
"1997M11","Icelandic krona","National currency","Average",":",""
"1997M11","US dollar","National currency","Average","1.1394",""
"1997M12","Icelandic krona","National currency","Average",":",""
"1997M12","US dollar","National currency","Average","1.1116",""
"1998M01","Icelandic krona","National currency","Average",":",""
"1998M01","US dollar","National currency","Average","1.0877",""
"1998M02","Icelandic krona","National currency","Average",":",""
"1998M02","US dollar","National currency","Average","1.0884",""
"1998M03","Icelandic krona","National currency","Average",":",""
"1998M03","US dollar","National currency","Average","1.0843",""
"1998M04","Icelandic krona","National currency","Average",":",""
"1998M04","US dollar","National currency","Average","1.0911",""
"1998M05","Icelandic krona","National currency","Average",":",""
"1998M05","US dollar","National currency","Average","1.1090",""
"1998M06","Icelandic krona","National currency","Average",":",""
"1998M06","US dollar","National currency","Average","1.1014",""
"1998M07","Icelandic krona","National currency","Average",":",""
"1998M07","US dollar","National currency","Average","1.0975",""
"1998M08","Icelandic krona","National currency","Average",":",""
"1998M08","US dollar","National currency","Average","1.1016",""
"1998M09","Icelandic krona","National currency","Average",":",""
"1998M09","US dollar","National currency","Average","1.1541",""
"1998M10","Icelandic krona","National currency","Average",":",""
"1998M10","US dollar","National currency","Average","1.1938",""
"1998M11","Icelandic krona","National currency","Average",":",""
"1998M11","US dollar","National currency","Average","1.1644",""
"1998M12","Icelandic krona","National currency","Average",":",""
"1998M12","US dollar","National currency","Average","1.1721",""
"1999M01","Icelandic krona","National currency","Average","80.62",""
"1999M01","US dollar","National currency","Average","1.1608",""
"1999M02","Icelandic krona","National currency","Average","79.59",""
"1999M02","US dollar","National currency","Average","1.1208",""
"1999M03","Icelandic krona","National currency","Average","78.57",""
"1999M03","US dollar","National currency","Average","1.0883",""
"1999M04","Icelandic krona","National currency","Average","78.24",""
"1999M04","US dollar","National currency","Average","1.0704",""
"1999M05","Icelandic krona","National currency","Average","78.43",""
"1999M05","US dollar","National currency","Average","1.0628",""
"1999M06","Icelandic krona","National currency","Average","77.16",""
"1999M06","US dollar","National currency","Average","1.0378",""
"1999M07","Icelandic krona","National currency","Average","77.13",""
"1999M07","US dollar","National currency","Average","1.0353",""
"1999M08","Icelandic krona","National currency","Average","77.28",""
"1999M08","US dollar","National currency","Average","1.0604",""
"1999M09","Icelandic krona","National currency","Average","76.24",""
"1999M09","US dollar","National currency","Average","1.0501",""
"1999M10","Icelandic krona","National currency","Average","75.82",""
"1999M10","US dollar","National currency","Average","1.0706",""
"1999M11","Icelandic krona","National currency","Average","74.28",""
"1999M11","US dollar","National currency","Average","1.0338",""
"1999M12","Icelandic krona","National currency","Average","73.29",""
"1999M12","US dollar","National currency","Average","1.0110",""
"2000M01","Icelandic krona","National currency","Average","73.39",""
"2000M01","US dollar","National currency","Average","1.0137",""
"2000M02","Icelandic krona","National currency","Average","71.94",""
"2000M02","US dollar","National currency","Average","0.9834",""
"2000M03","Icelandic krona","National currency","Average","71.03",""
"2000M03","US dollar","National currency","Average","0.9643",""
"2000M04","Icelandic krona","National currency","Average","70.01",""
"2000M04","US dollar","National currency","Average","0.9470",""
"2000M05","Icelandic krona","National currency","Average","69.36",""
"2000M05","US dollar","National currency","Average","0.9060",""
"2000M06","Icelandic krona","National currency","Average","72.26",""
"2000M06","US dollar","National currency","Average","0.9492",""
"2000M07","Icelandic krona","National currency","Average","73.46",""
"2000M07","US dollar","National currency","Average","0.9397",""
"2000M08","Icelandic krona","National currency","Average","72.41",""
"2000M08","US dollar","National currency","Average","0.9041",""
"2000M09","Icelandic krona","National currency","Average","72.42",""
"2000M09","US dollar","National currency","Average","0.8721",""
"2000M10","Icelandic krona","National currency","Average","72.83",""
"2000M10","US dollar","National currency","Average","0.8552",""
"2000M11","Icelandic krona","National currency","Average","74.89",""
"2000M11","US dollar","National currency","Average","0.8564",""
"2000M12","Icelandic krona","National currency","Average","77.30",""
"2000M12","US dollar","National currency","Average","0.8973",""
"2001M01","Icelandic krona","National currency","Average","79.86",""
"2001M01","US dollar","National currency","Average","0.9383",""
"2001M02","Icelandic krona","National currency","Average","79.27",""
"2001M02","US dollar","National currency","Average","0.9217",""
"2001M03","Icelandic krona","National currency","Average","79.72",""
"2001M03","US dollar","National currency","Average","0.9095",""
"2001M04","Icelandic krona","National currency","Average","83.29",""
"2001M04","US dollar","National currency","Average","0.8920",""
"2001M05","Icelandic krona","National currency","Average","88.12",""
"2001M05","US dollar","National currency","Average","0.8742",""
"2001M06","Icelandic krona","National currency","Average","89.36",""
"2001M06","US dollar","National currency","Average","0.8532",""
"2001M07","Icelandic krona","National currency","Average","87.89",""
"2001M07","US dollar","National currency","Average","0.8607",""
"2001M08","Icelandic krona","National currency","Average","88.70",""
"2001M08","US dollar","National currency","Average","0.9005",""
"2001M09","Icelandic krona","National currency","Average","91.16",""
"2001M09","US dollar","National currency","Average","0.9111",""
"2001M10","Icelandic krona","National currency","Average","92.84",""
"2001M10","US dollar","National currency","Average","0.9059",""
"2001M11","Icelandic krona","National currency","Average","95.32",""
"2001M11","US dollar","National currency","Average","0.8883",""
"2001M12","Icelandic krona","National currency","Average","93.37",""
"2001M12","US dollar","National currency","Average","0.8924",""
"2002M01","Icelandic krona","National currency","Average","90.61",""
"2002M01","US dollar","National currency","Average","0.8833",""
"2002M02","Icelandic krona","National currency","Average","88.13",""
"2002M02","US dollar","National currency","Average","0.8700",""
"2002M03","Icelandic krona","National currency","Average","87.97",""
"2002M03","US dollar","National currency","Average","0.8758",""
"2002M04","Icelandic krona","National currency","Average","85.98",""
"2002M04","US dollar","National currency","Average","0.8858",""
"2002M05","Icelandic krona","National currency","Average","84.26",""
"2002M05","US dollar","National currency","Average","0.9170",""
"2002M06","Icelandic krona","National currency","Average","85.28",""
"2002M06","US dollar","National currency","Average","0.9554",""
"2002M07","Icelandic krona","National currency","Average","84.88",""
"2002M07","US dollar","National currency","Average","0.9922",""
"2002M08","Icelandic krona","National currency","Average","84.22",""
"2002M08","US dollar","National currency","Average","0.9778",""
"2002M09","Icelandic krona","National currency","Average","85.82",""
"2002M09","US dollar","National currency","Average","0.9808",""
"2002M10","Icelandic krona","National currency","Average","86.08",""
"2002M10","US dollar","National currency","Average","0.9811",""
"2002M11","Icelandic krona","National currency","Average","86.18",""
"2002M11","US dollar","National currency","Average","1.0014",""
"2002M12","Icelandic krona","National currency","Average","84.92",""
"2002M12","US dollar","National currency","Average","1.0183",""
"2003M01","Icelandic krona","National currency","Average","84.45",""
"2003M01","US dollar","National currency","Average","1.0622",""
"2003M02","Icelandic krona","National currency","Average","83.70",""
"2003M02","US dollar","National currency","Average","1.0773",""
"2003M03","Icelandic krona","National currency","Average","84.31",""
"2003M03","US dollar","National currency","Average","1.0807",""
"2003M04","Icelandic krona","National currency","Average","83.38",""
"2003M04","US dollar","National currency","Average","1.0848",""
"2003M05","Icelandic krona","National currency","Average","84.44",""
"2003M05","US dollar","National currency","Average","1.1582",""
"2003M06","Icelandic krona","National currency","Average","86.25",""
"2003M06","US dollar","National currency","Average","1.1663",""
"2003M07","Icelandic krona","National currency","Average","87.66",""
"2003M07","US dollar","National currency","Average","1.1372",""
"2003M08","Icelandic krona","National currency","Average","88.79",""
"2003M08","US dollar","National currency","Average","1.1139",""
"2003M09","Icelandic krona","National currency","Average","88.81",""
"2003M09","US dollar","National currency","Average","1.1222",""
"2003M10","Icelandic krona","National currency","Average","89.17",""
"2003M10","US dollar","National currency","Average","1.1692",""
"2003M11","Icelandic krona","National currency","Average","88.60",""
"2003M11","US dollar","National currency","Average","1.1702",""
"2003M12","Icelandic krona","National currency","Average","89.68",""
"2003M12","US dollar","National currency","Average","1.2286",""
"2004M01","Icelandic krona","National currency","Average","87.69",""
"2004M01","US dollar","National currency","Average","1.2613",""
"2004M02","Icelandic krona","National currency","Average","86.71",""
"2004M02","US dollar","National currency","Average","1.2646",""
"2004M03","Icelandic krona","National currency","Average","87.23",""
"2004M03","US dollar","National currency","Average","1.2262",""
"2004M04","Icelandic krona","National currency","Average","87.59",""
"2004M04","US dollar","National currency","Average","1.1985",""
"2004M05","Icelandic krona","National currency","Average","87.97",""
"2004M05","US dollar","National currency","Average","1.2007",""
"2004M06","Icelandic krona","National currency","Average","87.55",""
"2004M06","US dollar","National currency","Average","1.2138",""
"2004M07","Icelandic krona","National currency","Average","87.71",""
"2004M07","US dollar","National currency","Average","1.2266",""
"2004M08","Icelandic krona","National currency","Average","87.08",""
"2004M08","US dollar","National currency","Average","1.2176",""
"2004M09","Icelandic krona","National currency","Average","87.65",""
"2004M09","US dollar","National currency","Average","1.2218",""
"2004M10","Icelandic krona","National currency","Average","87.58",""
"2004M10","US dollar","National currency","Average","1.2490",""
"2004M11","Icelandic krona","National currency","Average","87.15",""
"2004M11","US dollar","National currency","Average","1.2991",""
"2004M12","Icelandic krona","National currency","Average","83.99",""
"2004M12","US dollar","National currency","Average","1.3408",""
"2005M01","Icelandic krona","National currency","Average","82.12",""
"2005M01","US dollar","National currency","Average","1.3119",""
"2005M02","Icelandic krona","National currency","Average","80.74",""
"2005M02","US dollar","National currency","Average","1.3014",""
"2005M03","Icelandic krona","National currency","Average","79.15",""
"2005M03","US dollar","National currency","Average","1.3201",""
"2005M04","Icelandic krona","National currency","Average","80.71",""
"2005M04","US dollar","National currency","Average","1.2938",""
"2005M05","Icelandic krona","National currency","Average","82.36",""
"2005M05","US dollar","National currency","Average","1.2694",""
"2005M06","Icelandic krona","National currency","Average","79.30",""
"2005M06","US dollar","National currency","Average","1.2165",""
"2005M07","Icelandic krona","National currency","Average","78.40",""
"2005M07","US dollar","National currency","Average","1.2037",""
"2005M08","Icelandic krona","National currency","Average","78.37",""
"2005M08","US dollar","National currency","Average","1.2292",""
"2005M09","Icelandic krona","National currency","Average","76.15",""
"2005M09","US dollar","National currency","Average","1.2256",""
"2005M10","Icelandic krona","National currency","Average","73.29",""
"2005M10","US dollar","National currency","Average","1.2015",""
"2005M11","Icelandic krona","National currency","Average","72.98",""
"2005M11","US dollar","National currency","Average","1.1786",""
"2005M12","Icelandic krona","National currency","Average","75.36",""
"2005M12","US dollar","National currency","Average","1.1856",""
"2006M01","Icelandic krona","National currency","Average","74.58",""
"2006M01","US dollar","National currency","Average","1.2103",""
"2006M02","Icelandic krona","National currency","Average","76.57",""
"2006M02","US dollar","National currency","Average","1.1938",""
"2006M03","Icelandic krona","National currency","Average","83.74",""
"2006M03","US dollar","National currency","Average","1.2020",""
"2006M04","Icelandic krona","National currency","Average","91.94",""
"2006M04","US dollar","National currency","Average","1.2271",""
"2006M05","Icelandic krona","National currency","Average","91.69",""
"2006M05","US dollar","National currency","Average","1.2770",""
"2006M06","Icelandic krona","National currency","Average","94.38",""
"2006M06","US dollar","National currency","Average","1.2650",""
"2006M07","Icelandic krona","National currency","Average","94.33",""
"2006M07","US dollar","National currency","Average","1.2684",""
"2006M08","Icelandic krona","National currency","Average","90.08",""
"2006M08","US dollar","National currency","Average","1.2811",""
"2006M09","Icelandic krona","National currency","Average","89.31",""
"2006M09","US dollar","National currency","Average","1.2727",""
"2006M10","Icelandic krona","National currency","Average","86.29",""
"2006M10","US dollar","National currency","Average","1.2611",""
"2006M11","Icelandic krona","National currency","Average","89.29",""
"2006M11","US dollar","National currency","Average","1.2881",""
"2006M12","Icelandic krona","National currency","Average","91.59",""
"2006M12","US dollar","National currency","Average","1.3213",""
"2007M01","Icelandic krona","National currency","Average","91.02",""
"2007M01","US dollar","National currency","Average","1.2999",""
"2007M02","Icelandic krona","National currency","Average","88.00",""
"2007M02","US dollar","National currency","Average","1.3074",""
"2007M03","Icelandic krona","National currency","Average","88.69",""
"2007M03","US dollar","National currency","Average","1.3242",""
"2007M04","Icelandic krona","National currency","Average","88.36",""
"2007M04","US dollar","National currency","Average","1.3516",""
"2007M05","Icelandic krona","National currency","Average","85.12",""
"2007M05","US dollar","National currency","Average","1.3511",""
"2007M06","Icelandic krona","National currency","Average","84.26",""
"2007M06","US dollar","National currency","Average","1.3419",""
"2007M07","Icelandic krona","National currency","Average","83.16",""
"2007M07","US dollar","National currency","Average","1.3716",""
"2007M08","Icelandic krona","National currency","Average","88.46",""
"2007M08","US dollar","National currency","Average","1.3622",""
"2007M09","Icelandic krona","National currency","Average","88.59",""
"2007M09","US dollar","National currency","Average","1.3896",""
"2007M10","Icelandic krona","National currency","Average","86.30",""
"2007M10","US dollar","National currency","Average","1.4227",""
"2007M11","Icelandic krona","National currency","Average","89.34",""
"2007M11","US dollar","National currency","Average","1.4684",""
"2007M12","Icelandic krona","National currency","Average","90.82",""
"2007M12","US dollar","National currency","Average","1.4570",""
"2008M01","Icelandic krona","National currency","Average","94.50",""
"2008M01","US dollar","National currency","Average","1.4718",""
"2008M02","Icelandic krona","National currency","Average","98.06",""
"2008M02","US dollar","National currency","Average","1.4748",""
"2008M03","Icelandic krona","National currency","Average","112.08",""
"2008M03","US dollar","National currency","Average","1.5527",""
"2008M04","Icelandic krona","National currency","Average","116.65",""
"2008M04","US dollar","National currency","Average","1.5751",""
"2008M05","Icelandic krona","National currency","Average","117.46",""
"2008M05","US dollar","National currency","Average","1.5557",""
"2008M06","Icelandic krona","National currency","Average","123.28",""
"2008M06","US dollar","National currency","Average","1.5553",""
"2008M07","Icelandic krona","National currency","Average","123.61",""
"2008M07","US dollar","National currency","Average","1.5770",""
"2008M08","Icelandic krona","National currency","Average","122.07",""
"2008M08","US dollar","National currency","Average","1.4975",""
"2008M09","Icelandic krona","National currency","Average","131.33",""
"2008M09","US dollar","National currency","Average","1.4369",""
"2008M10","Icelandic krona","National currency","Average","274.64",""
"2008M10","US dollar","National currency","Average","1.3322",""
"2008M11","Icelandic krona","National currency","Average","242.95",""
"2008M11","US dollar","National currency","Average","1.2732",""
"2008M12","Icelandic krona","National currency","Average","290.00",""
"2008M12","US dollar","National currency","Average","1.3449",""
"2009M01","Icelandic krona","National currency","Average","164.16",""
"2009M01","US dollar","National currency","Average","1.3239",""
"2009M02","Icelandic krona","National currency","Average","145.66",""
"2009M02","US dollar","National currency","Average","1.2785",""
"2009M03","Icelandic krona","National currency","Average","149.70",""
"2009M03","US dollar","National currency","Average","1.3050",""
"2009M04","Icelandic krona","National currency","Average","167.16",""
"2009M04","US dollar","National currency","Average","1.3190",""
"2009M05","Icelandic krona","National currency","Average","172.38",""
"2009M05","US dollar","National currency","Average","1.3650",""
"2009M06","Icelandic krona","National currency","Average","177.56",""
"2009M06","US dollar","National currency","Average","1.4016",""
"2009M07","Icelandic krona","National currency","Average","179.41",""
"2009M07","US dollar","National currency","Average","1.4088",""
"2009M08","Icelandic krona","National currency","Average","181.32",""
"2009M08","US dollar","National currency","Average","1.4268",""
"2009M09","Icelandic krona","National currency","Average","181.45",""
"2009M09","US dollar","National currency","Average","1.4562",""
"2009M10","Icelandic krona","National currency","Average","183.69",""
"2009M10","US dollar","National currency","Average","1.4816",""
"2009M11","Icelandic krona","National currency","Average","184.64",""
"2009M11","US dollar","National currency","Average","1.4914",""
"2009M12","Icelandic krona","National currency","Average","182.92",""
"2009M12","US dollar","National currency","Average","1.4614",""
"2010M01","Icelandic krona","National currency","Average","179.78",""
"2010M01","US dollar","National currency","Average","1.4272",""
"2010M02","Icelandic krona","National currency","Average","175.57",""
"2010M02","US dollar","National currency","Average","1.3686",""
"2010M03","Icelandic krona","National currency","Average","173.15",""
"2010M03","US dollar","National currency","Average","1.3569",""
"2010M04","Icelandic krona","National currency","Average","171.03",""
"2010M04","US dollar","National currency","Average","1.3406",""
"2010M05","Icelandic krona","National currency","Average","163.01",""
"2010M05","US dollar","National currency","Average","1.2565",""
"2010M06","Icelandic krona","National currency","Average","156.95",""
"2010M06","US dollar","National currency","Average","1.2209",""
"2010M07","Icelandic krona","National currency","Average","157.65",""
"2010M07","US dollar","National currency","Average","1.2770",""
"2010M08","Icelandic krona","National currency","Average","154.08",""
"2010M08","US dollar","National currency","Average","1.2894",""
"2010M09","Icelandic krona","National currency","Average","152.63",""
"2010M09","US dollar","National currency","Average","1.3067",""
"2010M10","Icelandic krona","National currency","Average","155.27",""
"2010M10","US dollar","National currency","Average","1.3898",""
"2010M11","Icelandic krona","National currency","Average","153.75",""
"2010M11","US dollar","National currency","Average","1.3661",""
"2010M12","Icelandic krona","National currency","Average","153.11",""
"2010M12","US dollar","National currency","Average","1.3220",""
"2011M01","Icelandic krona","National currency","Average","156.07",""
"2011M01","US dollar","National currency","Average","1.3360",""
"2011M02","Icelandic krona","National currency","Average","159.13",""
"2011M02","US dollar","National currency","Average","1.3649",""
"2011M03","Icelandic krona","National currency","Average","161.38",""
"2011M03","US dollar","National currency","Average","1.3999",""
"2011M04","Icelandic krona","National currency","Average","163.09",""
"2011M04","US dollar","National currency","Average","1.4442",""
"2011M05","Icelandic krona","National currency","Average","164.31",""
"2011M05","US dollar","National currency","Average","1.4349",""
"2011M06","Icelandic krona","National currency","Average","165.59",""
"2011M06","US dollar","National currency","Average","1.4388",""
"2011M07","Icelandic krona","National currency","Average","165.65",""
"2011M07","US dollar","National currency","Average","1.4264",""
"2011M08","Icelandic krona","National currency","Average","164.19",""
"2011M08","US dollar","National currency","Average","1.4343",""
"2011M09","Icelandic krona","National currency","Average","160.80",""
"2011M09","US dollar","National currency","Average","1.3770",""
"2011M10","Icelandic krona","National currency","Average","158.97",""
"2011M10","US dollar","National currency","Average","1.3706",""
"2011M11","Icelandic krona","National currency","Average","158.91",""
"2011M11","US dollar","National currency","Average","1.3556",""
"2011M12","Icelandic krona","National currency","Average","159.42",""
"2011M12","US dollar","National currency","Average","1.3179",""
"2012M01","Icelandic krona","National currency","Average","159.73",""
"2012M01","US dollar","National currency","Average","1.2905",""
"2012M02","Icelandic krona","National currency","Average","163.22",""
"2012M02","US dollar","National currency","Average","1.3224",""
"2012M03","Icelandic krona","National currency","Average","166.81",""
"2012M03","US dollar","National currency","Average","1.3201",""
"2012M04","Icelandic krona","National currency","Average","167.03",""
"2012M04","US dollar","National currency","Average","1.3162",""
"2012M05","Icelandic krona","National currency","Average","162.70",""
"2012M05","US dollar","National currency","Average","1.2789",""
"2012M06","Icelandic krona","National currency","Average","159.83",""
"2012M06","US dollar","National currency","Average","1.2526",""
"2012M07","Icelandic krona","National currency","Average","154.83",""
"2012M07","US dollar","National currency","Average","1.2288",""
"2012M08","Icelandic krona","National currency","Average","149.07",""
"2012M08","US dollar","National currency","Average","1.2400",""
"2012M09","Icelandic krona","National currency","Average","157.95",""
"2012M09","US dollar","National currency","Average","1.2856",""
"2012M10","Icelandic krona","National currency","Average","161.02",""
"2012M10","US dollar","National currency","Average","1.2974",""
"2012M11","Icelandic krona","National currency","Average","163.24",""
"2012M11","US dollar","National currency","Average","1.2828",""
"2012M12","Icelandic krona","National currency","Average","165.70",""
"2012M12","US dollar","National currency","Average","1.3119",""
"2013M01","Icelandic krona","National currency","Average","171.00",""
"2013M01","US dollar","National currency","Average","1.3288",""
"2013M02","Icelandic krona","National currency","Average","170.64",""
"2013M02","US dollar","National currency","Average","1.3359",""
"2013M03","Icelandic krona","National currency","Average","162.58",""
"2013M03","US dollar","National currency","Average","1.2964",""
"2013M04","Icelandic krona","National currency","Average","154.73",""
"2013M04","US dollar","National currency","Average","1.3026",""
"2013M05","Icelandic krona","National currency","Average","157.24",""
"2013M05","US dollar","National currency","Average","1.2982",""
"2013M06","Icelandic krona","National currency","Average","160.59",""
"2013M06","US dollar","National currency","Average","1.3189",""
"2013M07","Icelandic krona","National currency","Average","160.32",""
"2013M07","US dollar","National currency","Average","1.3080",""
"2013M08","Icelandic krona","National currency","Average","159.32",""
"2013M08","US dollar","National currency","Average","1.3310",""
"2013M09","Icelandic krona","National currency","Average","161.56",""
"2013M09","US dollar","National currency","Average","1.3348",""
"2013M10","Icelandic krona","National currency","Average","164.70",""
"2013M10","US dollar","National currency","Average","1.3635",""
"2013M11","Icelandic krona","National currency","Average","164.11",""
"2013M11","US dollar","National currency","Average","1.3493",""
"2013M12","Icelandic krona","National currency","Average","160.82",""
"2013M12","US dollar","National currency","Average","1.3704",""
"2014M01","Icelandic krona","National currency","Average","157.76",""
"2014M01","US dollar","National currency","Average","1.3610",""
"2014M02","Icelandic krona","National currency","Average","155.87",""
"2014M02","US dollar","National currency","Average","1.3658",""
"2014M03","Icelandic krona","National currency","Average","156.04",""
"2014M03","US dollar","National currency","Average","1.3823",""
"2014M04","Icelandic krona","National currency","Average","155.18",""
"2014M04","US dollar","National currency","Average","1.3812",""
"2014M05","Icelandic krona","National currency","Average","154.83",""
"2014M05","US dollar","National currency","Average","1.3732",""
"2014M06","Icelandic krona","National currency","Average","154.56",""
"2014M06","US dollar","National currency","Average","1.3592",""
"2014M07","Icelandic krona","National currency","Average","154.75",""
"2014M07","US dollar","National currency","Average","1.3539",""
"2014M08","Icelandic krona","National currency","Average","154.42",""
"2014M08","US dollar","National currency","Average","1.3316",""
"2014M09","Icelandic krona","National currency","Average","153.61",""
"2014M09","US dollar","National currency","Average","1.2901",""
"2014M10","Icelandic krona","National currency","Average","153.08",""
"2014M10","US dollar","National currency","Average","1.2673",""
"2014M11","Icelandic krona","National currency","Average","154.17",""
"2014M11","US dollar","National currency","Average","1.2472",""
"2014M12","Icelandic krona","National currency","Average","154.16",""
"2014M12","US dollar","National currency","Average","1.2331",""
"2015M01","Icelandic krona","National currency","Average","152.90",""
"2015M01","US dollar","National currency","Average","1.1621",""
"2015M02","Icelandic krona","National currency","Average","149.98",""
"2015M02","US dollar","National currency","Average","1.1350",""
"2015M03","Icelandic krona","National currency","Average","148.18",""
"2015M03","US dollar","National currency","Average","1.0838",""
"2015M04","Icelandic krona","National currency","Average","146.76",""
"2015M04","US dollar","National currency","Average","1.0779",""
"2015M05","Icelandic krona","National currency","Average","147.80",""
"2015M05","US dollar","National currency","Average","1.1150",""
"2015M06","Icelandic krona","National currency","Average","148.30",""
"2015M06","US dollar","National currency","Average","1.1213",""
"2015M07","Icelandic krona","National currency","Average","147.46",""
"2015M07","US dollar","National currency","Average","1.0996",""
"2015M08","Icelandic krona","National currency","Average","146.81",""
"2015M08","US dollar","National currency","Average","1.1139",""
"2015M09","Icelandic krona","National currency","Average","143.87",""
"2015M09","US dollar","National currency","Average","1.1221",""
"2015M10","Icelandic krona","National currency","Average","142.00",""
"2015M10","US dollar","National currency","Average","1.1235",""
"2015M11","Icelandic krona","National currency","Average","140.79",""
"2015M11","US dollar","National currency","Average","1.0736",""
"2015M12","Icelandic krona","National currency","Average","141.30",""
"2015M12","US dollar","National currency","Average","1.0877",""
"2016M01","Icelandic krona","National currency","Average","141.52",""
"2016M01","US dollar","National currency","Average","1.0860",""
"2016M02","Icelandic krona","National currency","Average","142.32",""
"2016M02","US dollar","National currency","Average","1.1093",""
"2016M03","Icelandic krona","National currency","Average","140.95",""
"2016M03","US dollar","National currency","Average","1.1100",""
"2016M04","Icelandic krona","National currency","Average","140.37",""
"2016M04","US dollar","National currency","Average","1.1339",""
"2016M05","Icelandic krona","National currency","Average","139.75",""
"2016M05","US dollar","National currency","Average","1.1311",""
"2016M06","Icelandic krona","National currency","Average","138.55",""
"2016M06","US dollar","National currency","Average","1.1229",""
"2016M07","Icelandic krona","National currency","Average","135.04",""
"2016M07","US dollar","National currency","Average","1.1069",""
"2016M08","Icelandic krona","National currency","Average","132.13",""
"2016M08","US dollar","National currency","Average","1.1212",""
"2016M09","Icelandic krona","National currency","Average","128.72",""
"2016M09","US dollar","National currency","Average","1.1212",""
"2016M10","Icelandic krona","National currency","Average","125.87",""
"2016M10","US dollar","National currency","Average","1.1026",""
"2016M11","Icelandic krona","National currency","Average","121.35",""
"2016M11","US dollar","National currency","Average","1.0799",""
"2016M12","Icelandic krona","National currency","Average","118.75",""
"2016M12","US dollar","National currency","Average","1.0543",""
"2017M01","Icelandic krona","National currency","Average","121.44",""
"2017M01","US dollar","National currency","Average","1.0614",""
"2017M02","Icelandic krona","National currency","Average","118.68",""
"2017M02","US dollar","National currency","Average","1.0643",""
"2017M03","Icelandic krona","National currency","Average","117.12",""
"2017M03","US dollar","National currency","Average","1.0685",""
"2017M04","Icelandic krona","National currency","Average","118.41",""
"2017M04","US dollar","National currency","Average","1.0723",""
"2017M05","Icelandic krona","National currency","Average","113.74",""
"2017M05","US dollar","National currency","Average","1.1058",""
"2017M06","Icelandic krona","National currency","Average","113.84",""
