"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Antigua and Barbuda","ATG","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","209241235","237274222","294515943","354863772","399172683","443797053","491789051","562606685","650494597","784188380","910372127","1076321865","1184745929","1240566459","1300607124","1348059089","1444966472","1591459946","1558657962","1711072747","1837666231","1965223560","2068737057","2241428676","2161998695","2199461374","2310236369","2482858285","2759916494","3123914692","3540783561","3694763817","3305483137","3111666485","3083515872","3270811602","3220882972","3444057318","3669825791","3954501576","4077228827","",
"Australia","AUS","GDP (current LCU)","NY.GDP.MKTP.CN","16584000000","17544000000","17758000000","19199000000","21214000000","23154000000","24342000000","27135000000","29160000000","32698000000","36842000000","40304000000","44473000000","49735000000","60257000000","71141000000","83213000000","96050000000","104893000000","118558000000","134390000000","152105000000","175570000000","189110000000","213325000000","234915000000","260155000000","285679000000","323946000000","367592000000","403934000000","414539000000","422439000000","443368000000","465742000000","494567000000","527599000000","555291000000","588097000000","619801000000","660859000000","704766000000","753943000000","800628000000","860215000000","921352000000","995719000000","1085145000000","1175737000000","1258302000000","1299079000000","1414219000000","1496800000000","1533882000000","1595776000000","1621404000000","1659604000000","1754724000000","",
"Austria","AUT","GDP (current LCU)","NY.GDP.MKTP.CN","12456853504","13815504896","14655121408","15822951424","17326626816","18883733504","20572207104","21879263232","23506483200","25664612352","29047294400","32427438800","37057942900","41997559400","47801145100","50702938000","56006920800","61911611400","65483748600","71830083700","77151789500","82215015600","88359973700","94146775100","98857490400","104329954100","109880625300","114085965300","119645441000","127981232400","137548696400","147464359800","155789391700","160927978100","168954605000","176608750000","182540880000","188723760000","196346610000","203850580000","213606480000","220525080000","226735220000","231862460000","242348260000","254075030000","267824450000","283977970000","293761910000","288044020000","295896640000","310128660000","318653040000","323910200000","333062620000","344493170000","353296920000","369685920000","",
"Azerbaijan","AZE","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000","500000","4800000","31400000","374700000","2133800000","2732600000","3158300000","3440600000","3775100000","4718100000","5315600000","6062500000","7146500000","8530200000","12522500000","18746200000","28360500000","40137200000","35601500000","42465000000","52082000000","54743700000","58182000000","59014100000","54380000000","60425200000","70135100000","",
"Burundi","BDI","GDP (current LCU)","NY.GDP.MKTP.CN","9799999500","10149999600","10675000300","11637499900","13037500400","13415200000","14476400000","15601000000","16030000000","16643000000","21239100000","22123700000","21595400000","24355100000","27189500000","33152700000","38675600000","49278200000","54920300000","70424700000","82775400000","87214200000","91190000000","100658000000","118171000000","138791000000","137201000000","139804000000","151964000000","176743000000","193878000000","211898000000","225599995900","227899998200","233721004000","249864994800","263100000000","342800000000","400200000000","455400000000","627333193100","728046498300","768235261400","849482572100","1007615939900","1208244000000","1309900000000","1467231000000","1911139000000","2191509000000","2501047000000","2819534000000","3365810000000","3812500000000","4184999000000","4879793000000","4896347000000","5485282000000","",
"Belgium","BEL","GDP (current LCU)","NY.GDP.MKTP.CN","14450609152","15369578496","16440317952","17674829824","19782035456","21531359232","23118405632","24779487232","26495297536","29388689408","33279519300","36460246800","40816514000","46376984600","54395154900","60199322100","68420274300","73997237300","79466262500","84990587000","92430695900","96909481200","104866182500","111097536000","120028933200","127657944100","133620235400","139004618900","148727498500","161269772400","171007309100","179151411700","188122592400","193753005500","204194082200","211615800000","215942400000","225968700000","234489600000","244226000000","258222000000","265788400000","275065100000","282636500000","298710800000","311480800000","326662100000","344712500000","354065900000","348781100000","365100500000","379106300000","387500100000","392339800000","400058400000","410290500000","422677600000","437204100000","",
"Benin","BEN","GDP (current LCU)","NY.GDP.MKTP.CN","55462047700","57800011800","57929838600","62216437800","66112991200","71045292000","74422198300","75330887700","80786079700","85981503500","92215746600","92264521700","103414964200","112419971100","133508014100","145062002700","166884999200","184271994900","209598971900","252337012700","296900984800","350837964800","416599998500","417399996400","459300012000","469800026100","462700019700","469561999400","482587410400","479244386300","533629545100","560387826700","594416368900","644069732800","887259268600","1082965970900","1207834857200","1323938197500","1448386288100","1656100000000","1829200000000","1964700000000","2129000000000","2269800000000","2388600000000","2533800000000","2688900000000","2861000000000","3194100000000","3351200000000","3452200000000","3687200000000","4162100000000","4524100000000","4799500000000","4903800000000","5083954000000","5382452347100","",
"Burkina Faso","BFA","GDP (current LCU)","NY.GDP.MKTP.CN","81022959600","85901672400","92999196700","96546406400","100539957200","103640383500","106597359600","110885888000","113989353500","124338790400","126704377900","132835033100","145822056400","150399729700","180801323000","201448276000","233346433000","277918974000","332974096400","371939672100","407499079700","482552217600","576523272200","609811824600","637904355300","697477693400","705183875100","712222048300","779182997500","834394193900","844374999000","884418019300","888488984600","905988997100","1052274262000","1187732652000","1323156242400","1428629487600","1654757130200","1856126976000","1874420000000","2061924056000","2234260000000","2444349000000","2556133000000","2881405000000","3041291000000","3245248000000","3747967000000","3951809000000","4447571000000","5060322000000","5700578000000","5902383000000","6119568000000","6162492000000","6455702958200","7173072733500","",
"Bangladesh","BGD","GDP (current LCU)","NY.GDP.MKTP.CN","20519491600","23124385800","24390785000","25533401100","25853063200","28351856600","30910501700","34817163300","35921691700","40660830900","43165066400","42008847300","37729475200","62922812900","99674260500","172623537500","150239133000","149303279700","200820319200","236906610500","280777000000","330880000000","371249000000","418391000000","473021000000","579239000000","653221000000","753239000000","829265000000","923893000000","1039585474800","1105182177000","1195424572200","1253694434000","1354123301400","1525177900500","1899334000000","2060032000000","2269299000000","2465089000000","2685034000000","2913370000000","3142804000000","3483202000000","3832940000000","4270741000000","4823369660200","5497997000000","6286822000000","7050718000000","7975387000000","9158288000000","10552040389300","11989231718700","13436744000000","15158023000000","17328639000000","19758152000000","",
"Bulgaria","BGR","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","25791000","27818000","29013000","29814600","31670900","32595300","34423800","36531300","38345100","39579200","45390600","135700000","200800000","298900000","525600000","877862000","1798500000","18829900000","26304200000","24867700000","27927800000","30751000000","33806200000","36356700000","40886400000","46651000000","53219100000","63464000000","72755900000","72985900000","74771300000","80759000000","82040400000","81866100000","83756000000","88575200000","94130000000","101042500000","",
"Bahrain","BHR","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","1158100000","1303900000","1370800000","1404400000","1468500000","1373100000","1147700000","1275399900","1392100000","1452700000","1590400000","1735700000","1786400000","1955300000","2093400100","2199399900","2294299900","2387300100","2325100000","2489499900","3407653000","3375054100","3621690300","4164133100","4944462700","6004241300","6957900000","8170480000","9667290000","8624770000","9668190000","10820000000","11561740000","12234870000","12553780000","11703320000","12089410000","13275480000","",
"Bahamas, The","BHS","GDP (current LCU)","NY.GDP.MKTP.CN","173200000","193900000","216500000","242500000","272000000","306400000","346800000","398000000","453800000","538700000","539500000","573400000","590900000","670900000","632400000","596200000","642100000","713000000","832400000","1139800100","1335300000","1426500000","1578300000","1732800000","2041100000","2320699900","2472500000","2713999900","2817900000","3062000000","3166000000","3111160000","3109000000","3092000000","3259000000","3429000000","3609000000","6332360000","6833220000","7683870000","8076470000","8317830000","8881160000","8870090000","9055290000","9836200000","10167250000","10618340000","10526000000","9981960000","10095760000","10070450000","10720500000","10627600000","10957300000","11792300000","11838800000","12162100000","",
"Bosnia and Herzegovina","BIH","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2034400000","2674985700","4192441000","6367297000","7244156000","8602999800","11689205000","12564994000","13821248000","14505245000","16689024000","17650339000","20057215000","22547859000","25519330000","24798520000","25364953000","26231262000","26222710000","26778754000","27358710000","28585811000","29900495000","31332395000","",
"Belarus","BLR","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","433","900","9200","98500","1779300","12140300","19183900","36683000","70216100","302606400","913380000","1717320000","2613830000","3656480000","4999180000","6506710000","7926700000","9716530000","12979080000","14209130000","17476330000","30724500000","54761670000","67068850000","80579270000","89909810000","94949000000","105199000000","",
"Belize","BLZ","GDP (current LCU)","NY.GDP.MKTP.CN","40103500","42807100","45510800","48214400","51706500","57300000","63500000","68700000","75000000","79000000","88900000","97100000","105700000","127700000","176500000","213700000","216100000","235300000","272600000","303600000","395876444.858566","392179709.312694","364412653.971418","384206371.910643","428763898.038761","425287485.329411","463276641.071133","562165117.1718","640186720.5449","738267781.40949","824172890.984353","889441500","1036478200","1119716500","1161727400","1240280800","1282767600","1308628700","1377984900","1465464700","1664144900","1743721200","1865103700","1980748100","2115691000","2228405400","2434884300","2581085100","2737250300","2670435000","2793463400","2973191500","3127655700","3216884300","3385911500","3525000900","3613292500","3725229600","",
"Bermuda","BMU","GDP (current LCU)","NY.GDP.MKTP.CN","72400000","76500000","80700000","82600000","92200000","98000000","115000000","134800000","150000000","164900000","186300000","211100000","235400000","269500000","312600000","345000000","386300000","447000000","475800000","517200000","613299968","739100032","785500032","889400000","985699968","1039500032","1173500032","1296499968","1415100032","1501500032","1592400000","1634899968","1679900032","1820359936","1867160064","2030749952","2695390000","2932827000","3130748000","3324433000","3480219000","3680483000","3937228000","4186525000","4484703000","4868136000","5414299000","5895048000","6109928000","5806378000","5744414000","5550771000","5537537000","5573710000","","","","","",
"Bolivia","BOL","GDP (current LCU)","NY.GDP.MKTP.CN","4479","4872","5327","5736","6463","7180","7950","8979","10192","11044","12082","13016","16720","25272","42026","48118","54667","64581","75202","90210","111000","144000","358000","1256000","19347000","2366158000","7607769000","8884398000","10805500000","12693906000","15443136000","19132128000","22014006000","24458969000","27636342000","32235073000","37536647000","41643866000","46822326000","48156175000","51928492000","53790327000","56682329000","61904449000","69626113000","77023817000","91747795000","103009182000","120693764000","121726745000","137875568000","166231563000","187153878000","211856032000","228003659000","228031370000","234533182000","259184717000","",
"Brazil","BRA","GDP (current LCU)","NY.GDP.MKTP.CN","0.0010305797","0.0014922285","0.0028077574","0.0048083207","0.009645056","0.0150469998","0.0218470004","0.0296240002","0.041813001","0.0554799996","0.0706600025","0.0945689976","0.1262540072","0.1765179932","0.2594619989","0.3654139936","0.5922639966","0.9056490064","1.3187919855","2.2032859325","4.5029067993","8.9207258225","18.3785591126","42.6392593384","140.3969726563","502.7359924316","1331.5694580078","4195.1098632813","31477.69921875","425595.31","11548794.55","60286000","640958800","14097114200","356801000000","705991552900","854763607800","952089196100","1002351019200","1087710456100","1199092070900","1315755467800","1488787255200","1717950396400","1957751213000","2170584500000","2409449940000","2720262930000","3109803100000","3333039350000","3885847000000","4376382000000","4814760000000","5331619000000","5778953000000","5995787000000","6259227789900","6559940259800","",
"Barbados","BRB","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","640206931.702345","812441000","873479000","993562000","1112015000","1348300000","1730500000","1904600000","1990000000","2112900000","2302800000","2410200000","2646100000","2913800000","3099200000","3427200000","4069500000","4036900000","3901800000","4115500000","4326900000","4549500000","4851000000","5127400000","5781400000","6058200000","6243000000","6233300000","6339200000","6549700000","7028700000","7794600000","8353000000","9344500000","9564000000","8959900000","9059800000","9321800000","9312700000","9225000000","9216700000","9168300000","9058100000","9347000000","",
"Brunei Darussalam","BRN","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","349100000","406400000","425600000","492300000","493500000","548200000","602900000","763600000","1064800000","2616200000","2770400000","3516100000","4226800000","4415200000","6097100000","10553600000","9224500000","9125500000","8123900000","8068500000","7752300000","5135600000","5800900000","5414800000","5822558200","6381000000","6395000000","6815000000","6634000000","6243000000","6710000000","7213000000","7717000000","6780000000","7797000000","10345988300","10035474000","10463065100","11424185700","13305817600","15864066900","18225800000","18458500000","20397900000","15611300000","18690000000","23303000000","23803000000","22639000000","21663600000","17778000000","15747723300","16747678102.2898","",
"Bhutan","BTN","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","1066234900","1267751600","1408918800","1672418000","1922850300","2130330500","2539347900","3281244600","3951273200","4478666700","5249275200","5686042400","6500589800","7172454500","8495045100","9828023800","11210791100","13288171000","15553166900","18043682000","19735771000","22479461300","26106007000","28973976100","31845549100","36112129300","40673522200","49456602000","54744000000","61221000000","72497000000","84950000000","97453000000","105378400000","119545750000","132140720000","149151780000","164627920000","",
"Botswana","BWA","GDP (current LCU)","NY.GDP.MKTP.CN","21693100","23515300","25424300","27246600","29849700","32800000","36900000","42049500","47500000","55550000","68950000","90800000","127100000","169450000","207950000","262650000","323500000","380250000","488950000","668200000","824550000","898500000","1045050000","1285850000","1611050000","2120950000","2616900000","3299500000","4835800000","6213550000","7052350000","7970750000","8747900000","10080305000","11434600000","13114200000","16114900000","18327800000","20244000000","25361400000","29530900000","32065900000","34416000000","37181580600","42036500200","50752072000","59106901000","67152660800","74720901400","73462364600","86867415100","104979856479.269","109870420640.498","125158314500","145868359400","145923402679.86","170588871100","180112699200","",
"Central African Republic","CAF","GDP (current LCU)","NY.GDP.MKTP.CN","27500003300","30200000500","30500003800","31700000800","34800005100","36900000000","38800000000","40300000000","47474848000","48882781000","52269637900","55470778500","58046469600","60443775600","67733982000","81151726200","107803103500","124632850100","137780646300","149067829200","168399988700","188799998000","245900130800","251000322300","278699993600","388545000000","388647000000","360942000000","376748000000","393634000000","392255000000","388567000000","373723000000","362103000000","472576000000","556745000000","515538000000","547331000000","570683000000","615377403800","651102539300","683069686500","690985647100","662425831200","670964091200","705416000000","763713000000","813587000000","889060000000","935747000000","983628000000","1036029000000","1107694000000","750232000000","841939000000","936724000000","1041007000000","1134742000000","",
"Canada","CAN","GDP (current LCU)","NY.GDP.MKTP.CN","39851732992","41300684800","44865609728","48163115008","52725530624","58113601536","65025380352","69866659840","76241084416","83867320320","91842629900","100244826700","111940684500","131334991400","156879706300","176823975100","203683506500","225049528900","249394511900","284734660500","320189893800","367121000000","386773000000","419691000000","460243000000","498075000000","524450000000","571926000000","624401000000","669026000000","692997000000","699253000000","716019000000","744608000000","789507000000","828973000000","857023000000","903902000000","937295000000","1004456000000","1102380000000","1140505000000","1189452000000","1250315000000","1331178000000","1417028000000","1492207000000","1573532000000","1652923000000","1567365000000","1662131000000","1769922000000","1822808000000","1897532000000","1990180000000","1994911000000","2035506000000","2145214000000","",
"Central Europe and the Baltics","CEB","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","GDP (current LCU)","NY.GDP.MKTP.CN","41642496000","46846156800","51950571520","57126662144","63322750976","67110535168","72066473984","77576192000","82835611648","89754304512","","","","","","","","","","","199422266300","214085978100","226807838300","233659906900","249738515700","264792114100","277898340500","288496654500","306265992700","330580551800","358506055400","374437171100","382225362600","390608004800","400252833700","405144610900","407993326800","415825221100","427756461400","435506546000","459447328300","470218133600","469788240400","475270389100","490142546800","508899983600","540288991000","576087606400","600431092900","589213223100","608830563500","621256121200","626414129400","638176961000","649718345000","653735210500","658977849700","668494703200","",
"Channel Islands","CHI","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3590000000","3871000000","4256000000","4330000000","4446000000","4491000000","4672000000","4855000000","5259000000","5755000000","","","","","","","","","","","",
"Chile","CHL","GDP (current LCU)","NY.GDP.MKTP.CN","4521000","5070700","5957900","9069100","13759400","19285100","27583300","35767300","49452900","72043000","103127300","132786200","246559400","1205476300","9609527600","37425087200","134962124500","300760724300","506241301200","812187712700","1132431685000","1345885243700","1289341223100","1603846028300","1932426506200","2847686144400","3644650048600","4883059000100","6380116701600","7977983648900","10096424395700","13212666666500","16665745886300","19924680966000","23953800140800","29141591313200","32173374439800","35621374458400","37549275338200","38246923164200","42005194286600","45067992919400","48044478870100","52299888133100","60471710758500","68831705427000","82080219853900","90702903280000","93854108404200","96686356858700","111508610680000","122006090354900","129947342297000","137876215768100","148623667005800","159605938775800","169263917953100","179776237894900","",
"China","CHN","GDP (current LCU)","NY.GDP.MKTP.CN","147010000000","123230000000","116220000000","124830000000","146990000000","173400000000","188870000000","179420000000","174410000000","196220000000","227970000000","245690000000","255240000000","275620000000","282770000000","303950000000","298860000000","325000000000","367870251960","410045367150","458758107780","493583283730","537335013630","602092410070","727850230680","909894802710","1037615445370","1217459467450","1518038647670","1717974173480","1887286882720","2200562845800","2719453089970","3567323035810","4863745033380","6133989133670","7181362958670","7971504449180","8519550708960","9056437577650","10028013925340","11086312304620","12171742474830","13742203491790","16184016090680","18731890311770","21943847481670","27023226935900","31951554667200","34908137086280","41303030895780","48930056616970","54036742814450","59524441442680","64397404820340","68905209275050","74358550000000","82712170000000","",
"Cote d'Ivoire","CIV","GDP (current LCU)","NY.GDP.MKTP.CN","133926436900","151630987300","158103633900","186469007400","225685553200","225399996400","251599994900","266400006100","317200007200","353900003300","402300010500","436200013800","466099994600","559100002300","738999992300","834499969000","1114000064500","1539199991800","1782800056300","1944899944400","2149899960300","2291399917600","2486599942100","2605799964700","2989499875300","3134800003100","3171574087700","3031708991500","3054484062200","3112694972400","2939329970200","2960043016200","2952100053000","3127745970200","4615726170100","5490705694700","6209854767100","6841856000000","7440492000000","7620286000000","7630266000000","8204578000000","8605657000000","8896202000000","8745460000000","9011755000000","9307908000000","9750029000000","10848040000000","11463500000000","12324723000000","11976724500000","13677317000000","15445759000000","17461003000000","19595381000000","20931397000000","22150799000000","",
"Cameroon","CMR","GDP (current LCU)","NY.GDP.MKTP.CN","150600319000","160100302800","170100342800","176000352300","190300405800","199500005400","209099997200","230299992100","259000008700","286099996700","318199988200","340599799800","377600868400","423800012800","519299989500","612299964400","692500037600","833999994900","1052200009700","1259100045300","1410199978000","1796399956000","2172500049900","2617999884300","3195000062000","3838866882600","4106168565800","3921899946000","3644487893000","3513100009500","3352800002000","3340200050700","3195299954700","4112708449400","4604052348100","5001650185800","5275772365000","5862047724900","6389898860300","6589531437500","7179524681600","7602582541600","8070665496200","8455793523000","9208497227000","9464932000000","10121085000000","10718929000000","11826440000000","12285308000000","12948432000000","13843139000000","14858604000000","15981280000000","17276318000000","18285382000000","19344838000000","20328363000000","",
"Congo, Dem. Rep.","COD","GDP (current LCU)","NY.GDP.MKTP.CN","0.0005710987","0.0005401807","0.0007937667","0.0015688294","0.0015848499","0.002224146","0.0024929631","0.0039142333","0.0065293335","0.0084041664","0.0081457338","0.0093432665","0.0103101004","0.0131432999","0.0160269235","0.0170963631","0.0254803002","0.0352433327","0.0428383343","0.0868066691","0.1343166693","0.183156669","0.261600076","0.4727933419","0.9461033354","1.1958700456","1.6085966793","2.8700065939","5.5244002445","11.4686671421","22.3903331459","500","17700","269200","69502300","396421800","2896399900","7999999900","9989899900","51823853700","1317075195100","2231456730100","3025905347400","3623266448400","4113594421900","5670065000000","6767519545400","8648878513700","11067568514400","15101187901500","19536676925500","23759424582500","26954556932500","30051179396400","33223988461800","35111225971900","37517392391700","55124325264700","",
"Congo, Rep.","COG","GDP (current LCU)","NY.GDP.MKTP.CN","32300007400","37200007200","40800010200","42200006700","45500010500","48600010000","54200000000","58399990000","62200000000","68899960000","76000000000","88700030000","103500000000","120800000000","140900000000","164400000000","180300000000","188000000000","198300000000","255000000000","360400000000","541700000000","710000000000","799200000000","958500000000","970800000000","640412500000","690558983000","659000000000","762300006400","762000000000","768700000000","776400000000","760100000000","982360000000","1056200000000","1299700000000","1355700000000","1150100000000","1449300000000","2292500000000","2048300000000","2104900000000","2031800000000","2455800000000","3210700000000","4042600000000","4023295390900","5310529000000","4529937000000","5947227000000","6806955000000","6982954000000","6958974000000","7009538000000","5058759000000","5358332000000","5065000000000","",
"Colombia","COL","GDP (current LCU)","NY.GDP.MKTP.CN","26746700000","30421000000","34199200000","43525500000","53760300000","60488000000","73285000000","84504000000","97102000000","111728000000","132768000000","155886000000","189614000000","243160000000","322384000000","405108000000","532270000000","716029000000","909487000000","1188817000000","1579130000000","1982773000000","2497298000000","3054137000000","3856584000000","4965883000000","6787956000000","8824408000000","11731348000000","15126718000000","24030173000000","31130592000000","39730752000000","52271688000000","67532862000000","84439109000000","100711389000000","121707501000000","140483322000000","151565005000000","208531000000000","225851000000000","245323000000000","272345000000000","307762000000000","336940937677400","380591648110700","427518881795100","475617406024800","501781836679200","543187689784600","618117720583400","665883659003100","713626705158800","762903000000000","804692000000000","863877000000000","928067336506300","",
"Comoros","COM","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","44837000000","53354000000","60466000000","73020000000","80704000000","88381000000","96687000000","101438000000","106182000000","108933000000","116970000000","119643000000","121066000000","128238000000","132910000000","149167000000","151950000000","159535000000","163757000000","176608000000","187035000000","207916000000","221623000000","237853000000","250633000000","258559000000","273659000000","285627000000","306288000000","319332000000","336947000000","361596000000","388984000000","413477000000","425713000000","438331000000","455547000000","466312000000","",
"Cabo Verde","CPV","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","5714754000","6791358000","8197831000","9926780000","11205501000","12620265000","15279722000","17047809300","19048026900","20855126900","21491983200","22838210600","24293375900","39442799400","33295296200","37438861600","41459204300","45684006400","51229696800","61316313600","64538549100","69380256100","72758110600","79526708100","82086506800","86185500000","97384400000","121973724800","134698360600","135879083600","138568517500","147924000000","150351280900","153723172600","154435743100","158699114300","165782176300","173382922600","",
