Date,Total number of license issued,lowest price ,avg price,Total number of applicants
May-15,7482,79000,79099,156007
Jun-15,7441,80000,80020,172205
Jul-15,7531,83100,83171,166302
Aug-15,7454,82600,82642,166939
Sep-15,8727,82100,82172,165765
Oct-15,7763,85300,85424,170995
Nov-15,7514,84600,84703,169159
Dec-15,7698,84500,84572,179133
Jan-16,9409,82200,82352,187533
Feb-16,8363,83200,83244,196470
Mar-16,8310,83100,83148,221109
Apr-16,11829,85100,85127,256897
May-16,11598,85000,85058,277889
Jun-16,11546,84400,84483,275438
Jul-16,11475,87200,87235,240750
Aug-16,11549,86900,86946,251188
Sep-16,12889,86500,86523,229544
Oct-16,11621,88300,88359,213212
Nov-16,11549,88600,88665,215424
Dec-16,12261,88300,88412,219882
Jan-17,12215,87600,87685,232101
Feb-17,10157,88200,88240,251717
Mar-17,10356,87800,87916,262010
Apr-17,12196,89800,89850,252273
May-17,10316,90100,90209,270197
Jun-17,10312,89400,89532,244349
Jul-17,10325,92200,92250,269189
Aug-17,10558,91600,91629,256083
Sep-17,12413,91300,91415,250566
Oct-17,11388,93500,93540,244868
Nov-17,11002,93100,93130,226911
Dec-17,12147,92800,92848,228148
Jan-18,12183,87900,87936,226316
Feb-18,11098,87600,87660,220831
Mar-18,9855,88100,88176,217056
Apr-18,11916,86900,87089,204980
May-18,10216,89000,89018,198627
Jun-18,10775,87800,87900,209672
Jul-18,10395,88300,88380,202337
Aug-18,10402,88300,88365,192755
Sep-18,12712,87300,87410,189142
Oct-18,10728,88000,88070,181861
Nov-18,11766,87300,87374,177355
Dec-18,12850,87400,87508,165442
Jan-19,12832,89500,89565,168614
